Date,Team1,Team2,Winner,Venue
11/20/2022,Botswana,Malawi,Malawi,Rwanda
11/20/2022,Kenya,Mali,Kenya,Kigali
11/20/2022,New Zealand,India,India,Mount Maunganui
11/21/2022,Oman,Canada,Canada,Al Amerat
11/21/2022,Bahrain,Saudi Arabia,Saudi Arabia,Al Amerat
11/21/2022,Rwanda,Malawi,Rwanda,Rwanda
11/21/2022,Seychelles,St Helena,St Helena,Kigali
11/21/2022,Kenya,Lesotho,Kenya,Kigali
11/21/2022,Malawi,Mali,Malawi,Rwanda
11/22/2022,Malawi,Seychelles,tied,Rwanda
11/22/2022,Mali,St Helena,tied,Kigali
11/22/2022,Botswana,Mali,Botswana,Rwanda
11/22/2022,Lesotho,St Helena,St Helena,Kigali
11/22/2022,New Zealand,India,tied,Napier
11/24/2022,Botswana,Kenya,Kenya,Rwanda
11/24/2022,Rwanda,Mali,Rwanda,Kigali
11/24/2022,Malawi,St Helena,Malawi,Rwanda
11/24/2022,Rwanda,Seychelles,Rwanda,Kigali
11/25/2022,Kenya,Seychelles,Kenya,Rwanda
11/25/2022,Rwanda,Lesotho,tied,Kigali
11/25/2022,Botswana,St Helena,Botswana,Rwanda
11/25/2022,Lesotho,Malawi,Malawi,Kigali
12/1/2022,Eswatini,Gambia,Eswatini,Kigali
12/1/2022,Mozambique,Nigeria,Nigeria,Rwanda
12/1/2022,Eswatini,Ghana,Ghana,Kigali
12/1/2022,Sierra Leone,Tanzania,Tanzania,Rwanda
12/2/2022,Cameroon,Sierra Leone,Sierra Leone,Rwanda
12/2/2022,Eswatini,Mozambique,Mozambique,Kigali
12/2/2022,Ghana,Mozambique,Mozambique,Kigali
12/2/2022,Nigeria,Sierra Leone,Nigeria,Rwanda
12/4/2022,Gambia,Nigeria,Nigeria,Kigali
12/4/2022,Ghana,Tanzania,Tanzania,Rwanda
12/4/2022,Cameroon,Mozambique,Mozambique,Rwanda
12/4/2022,Eswatini,Nigeria,Nigeria,Kigali
12/5/2022,Cameroon,Nigeria,Nigeria,Rwanda
12/5/2022,Ghana,Sierra Leone,Sierra Leone,Kigali
12/5/2022,Eswatini,Sierra Leone,Sierra Leone,Kigali
12/5/2022,Mozambique,Tanzania,Tanzania,Rwanda
12/6/2022,Cameroon,Ghana,Ghana,Kigali
12/6/2022,Gambia,Tanzania,Tanzania,Rwanda
12/6/2022,Gambia,Sierra Leone,Sierra Leone,Kigali
12/6/2022,Eswatini,Tanzania,Tanzania,Rwanda
12/8/2022,Gambia,Mozambique,Mozambique,Kigali
12/8/2022,Nigeria,Tanzania,tied,Rwanda
12/8/2022,Cameroon,Eswatini,tied,Kigali
12/8/2022,Gambia,Ghana,Ghana,Rwanda
12/9/2022,Cameroon,Tanzania,Tanzania,Kigali
12/9/2022,Ghana,Nigeria,Nigeria,Rwanda
12/9/2022,Cameroon,Gambia,Gambia,Kigali
12/9/2022,Mozambique,Sierra Leone,Mozambique,Rwanda
12/13/2022,Rwanda,Tanzania,Tanzania,Rwanda
12/13/2022,Rwanda,Tanzania,Tanzania,Rwanda
12/14/2022,Tanzania,Uganda,tied,Rwanda
12/14/2022,Rwanda,Uganda,Uganda,Rwanda
12/15/2022,Tanzania,Uganda,Uganda,Rwanda
12/15/2022,Rwanda,Uganda,Uganda,Rwanda
12/15/2022,Qatar,Singapore,Qatar,Bangi
12/15/2022,Malaysia,Bahrain,Malaysia,Bangi
12/16/2022,Rwanda,Tanzania,Rwanda,Rwanda
12/16/2022,Rwanda,Uganda,Uganda,Rwanda
12/16/2022,Bahrain,Singapore,tied,Bangi
12/16/2022,Malaysia,Qatar,Malaysia,Bangi
12/18/2022,Rwanda,Tanzania,Tanzania,Rwanda
12/18/2022,Tanzania,Uganda,Uganda,Rwanda
12/18/2022,Malaysia,Singapore,Malaysia,Bangi
12/18/2022,Bahrain,Qatar,Bahrain,Bangi
12/19/2022,Rwanda,Uganda,Uganda,Rwanda
12/19/2022,Tanzania,Uganda,Tanzania,Rwanda
12/19/2022,Malaysia,Bahrain,Malaysia,Bangi
12/19/2022,Qatar,Singapore,Qatar,Bangi
12/20/2022,Rwanda,Uganda,Uganda,Rwanda
12/20/2022,Rwanda,Tanzania,Tanzania,Rwanda
12/21/2022,Malaysia,Qatar,tied,Bangi
12/21/2022,Bahrain,Singapore,Bahrain,Bangi
12/22/2022,Tanzania,Uganda,Uganda,Rwanda
12/22/2022,Rwanda,Tanzania,Tanzania,Rwanda
12/22/2022,Bahrain,Qatar,tied,Bangi
12/22/2022,Malaysia,Singapore,Malaysia,Bangi
12/23/2022,Tanzania,Uganda,tied,Rwanda
12/23/2022,Rwanda,Uganda,Uganda,Rwanda
12/23/2022,Malaysia,Bahrain,Bahrain,Bangi
12/23/2022,Qatar,Singapore,Qatar,Bangi
1/3/2023,India,Sri Lanka,India,Wankhede
1/5/2023,India,Sri Lanka,Sri Lanka,Pune
1/7/2023,India,Sri Lanka,India,Rajkot
1/12/2023,Zimbabwe,Ireland,Zimbabwe,Harare
1/14/2023,Zimbabwe,Ireland,Ireland,Harare
1/15/2023,Zimbabwe,Ireland,Zimbabwe,Harare
1/27/2023,India,New Zealand,New Zealand,Ranchi
1/29/2023,India,New Zealand,India,Lucknow
2/1/2023,India,New Zealand,India,Ahmedabad
2/16/2023,U.A.E.,Afghanistan,Afghanistan,Abu Dhabi
2/18/2023,U.A.E.,Afghanistan,U.A.E.,Abu Dhabi
2/19/2023,U.A.E.,Afghanistan,Afghanistan,Abu Dhabi
2/21/2023,Argentina,Bermuda,Bermuda,Buenos Aires
2/22/2023,Argentina,Bermuda,Bermuda,Buenos Aires
2/24/2023,Spain,Isle of Man,tied,Cartagena
2/24/2023,Spain,Isle of Man,Spain,Cartagena
2/25/2023,Bermuda,Cayman Is,Bermuda,Buenos Aires
2/25/2023,Argentina,Panama,Panama,Buenos Aires
2/25/2023,Spain,Isle of Man,Spain,Cartagena
2/25/2023,Spain,Isle of Man,Spain,Cartagena
2/26/2023,Argentina,Bermuda,Bermuda,Buenos Aires
2/26/2023,Bahamas,Panama,Bahamas,Buenos Aires
2/26/2023,Spain,Isle of Man,Spain,Cartagena
2/26/2023,Spain,Isle of Man,Spain,Cartagena
2/28/2023,Bermuda,Panama,Bermuda,Buenos Aires
2/28/2023,Bahamas,Cayman Is,Cayman Is,Buenos Aires
3/2/2023,Argentina,Bahamas,Argentina,Buenos Aires
3/2/2023,Cayman Is,Panama,Cayman Is,Buenos Aires
3/4/2023,Argentina,Cayman Is,Cayman Is,Buenos Aires
3/4/2023,Bahamas,Bermuda,Bermuda,Buenos Aires
3/8/2023,Hong Kong,Bahrain,Hong Kong,Mong Kok
3/8/2023,Kuwait,Malaysia,Malaysia,Mong Kok
3/9/2023,Bangladesh,England,Bangladesh,Chattogram
3/9/2023,Hong Kong,Kuwait,Hong Kong,Mong Kok
3/9/2023,Bahrain,Malaysia,Malaysia,Mong Kok
3/11/2023,Hong Kong,Malaysia,Hong Kong,Mong Kok
3/11/2023,Bahrain,Kuwait,Bahrain,Mong Kok
3/12/2023,Bangladesh,England,Bangladesh,Mirpur
3/12/2023,Hong Kong,Malaysia,Hong Kong,Mong Kok
3/12/2023,Bahrain,Kuwait,Kuwait,Mong Kok
3/13/2023,Samoa,Vanuatu,Vanuatu,Suva
3/14/2023,Bangladesh,England,Bangladesh,Mirpur
3/14/2023,Fiji,Samoa,Fiji,Suva
3/16/2023,Fiji,Vanuatu,Vanuatu,Suva
3/17/2023,Fiji,Vanuatu,Vanuatu,Suva
3/18/2023,Fiji,Samoa,Fiji,Suva
3/24/2023,Afghanistan,Pakistan,Afghanistan,Sharjah
3/25/2023,South Africa,West Indies,West Indies,Centurion
3/26/2023,Afghanistan,Pakistan,Afghanistan,Sharjah
3/26/2023,South Africa,West Indies,South Africa,Centurion
3/27/2023,Afghanistan,Pakistan,Pakistan,Sharjah
3/27/2023,Bangladesh,Ireland,Bangladesh,Chattogram
3/28/2023,South Africa,West Indies,West Indies,Johannesburg
3/29/2023,Bangladesh,Ireland,Bangladesh,Chattogram
3/31/2023,Bangladesh,Ireland,Ireland,Chattogram
4/2/2023,New Zealand,Sri Lanka,tied,Auckland
4/5/2023,New Zealand,Sri Lanka,New Zealand,Dunedin
4/8/2023,New Zealand,Sri Lanka,New Zealand,Queenstown
4/10/2023,Portugal,Gibraltar,Portugal,Albergaria
4/11/2023,Portugal,Gibraltar,Portugal,Albergaria
4/11/2023,Portugal,Gibraltar,Portugal,Albergaria
4/14/2023,Pakistan,New Zealand,Pakistan,Lahore
4/15/2023,Pakistan,New Zealand,Pakistan,Lahore
4/17/2023,Pakistan,New Zealand,New Zealand,Lahore
4/20/2023,Pakistan,New Zealand,tied,Rawalpindi
4/24/2023,Pakistan,New Zealand,New Zealand,Rawalpindi
5/1/2023,Indonesia,Thailand,Indonesia,Phnom Penh
5/2/2023,Indonesia,Malaysia,Malaysia,Phnom Penh
5/3/2023,Philippines,Singapore,Singapore,Phnom Penh
5/4/2023,Gibraltar,Portugal,Portugal,Gibraltar
5/4/2023,Malta,Portugal,Portugal,Gibraltar
5/4/2023,Cambodia,Singapore,Cambodia,Phnom Penh
5/4/2023,Malaysia,Thailand,Malaysia,Phnom Penh
5/5/2023,Gibraltar,Malta,Gibraltar,Gibraltar
5/5/2023,Malta,Portugal,Portugal,Gibraltar
5/6/2023,Malta,Portugal,Portugal,Gibraltar
5/6/2023,Gibraltar,Portugal,Portugal,Gibraltar
5/6/2023,Gibraltar,Malta,Gibraltar,Gibraltar
5/7/2023,Gibraltar,Malta,Malta,Gibraltar
5/7/2023,Gibraltar,Portugal,Portugal,Gibraltar
5/10/2023,Cambodia,Philippines,Cambodia,Phnom Penh
5/11/2023,Cambodia,Malaysia,Cambodia,Phnom Penh
5/11/2023,Indonesia,Singapore,Singapore,Phnom Penh
5/18/2023,Denmark,Finland,Denmark,Brondby
5/18/2023,Norway,Sweden,Norway,Glostrup
5/18/2023,Denmark,Norway,Denmark,Brondby
5/19/2023,Denmark,Finland,Denmark,Brondby
5/19/2023,Norway,Sweden,Sweden,Glostrup
5/19/2023,Denmark,Sweden,Sweden,Brondby
5/19/2023,Finland,Norway,Norway,Glostrup
5/20/2023,Finland,Norway,Norway,Glostrup
5/20/2023,Finland,Sweden,Finland,Brondby
5/21/2023,Finland,Sweden,tied,Glostrup
5/27/2023,Eswatini,Malawi,Malawi,Benoni
5/28/2023,Malawi,Mozambique,Malawi,Benoni
5/29/2023,Botswana,Eswatini,Botswana,Benoni
5/30/2023,Eswatini,Mozambique,Mozambique,Benoni
5/30/2023,Botswana,Malawi,Botswana,Benoni
6/1/2023,Botswana,Mozambique,Botswana,Benoni
6/9/2023,Germany,Belgium,Germany,Krefeld
6/9/2023,Botswana,Uganda,Uganda,Nairobi (Gym)
6/9/2023,Kenya,Rwanda,Kenya,Nairobi (Gym)
6/10/2023,Germany,Belgium,Germany,Krefeld
6/10/2023,Czech Rep.,Hungary,Czech Rep.,Vinor
6/10/2023,Kenya,Uganda,Kenya,Nairobi (Gym)
6/10/2023,Germany,Belgium,Germany,Krefeld
6/10/2023,Botswana,Rwanda,Botswana,Nairobi (Gym)
6/11/2023,Czech Rep.,Hungary,Czech Rep.,Vinor
6/11/2023,Rwanda,Uganda,Uganda,Nairobi (Gym)
6/11/2023,Germany,Belgium,Germany,Krefeld
6/11/2023,Czech Rep.,Hungary,tied,Vinor
6/11/2023,Kenya,Botswana,Kenya,Nairobi (Gym)
6/13/2023,Kenya,Uganda,Uganda,Nairobi (Gym)
6/13/2023,Botswana,Rwanda,Rwanda,Nairobi (Gym)
6/14/2023,Kenya,Rwanda,Kenya,Nairobi (Gym)
6/14/2023,Botswana,Uganda,Uganda,Nairobi (Gym)
6/15/2023,Kenya,Botswana,Botswana,Nairobi (Gym)
6/15/2023,Rwanda,Uganda,Uganda,Nairobi (Gym)
6/17/2023,Kenya,Rwanda,Kenya,Nairobi (Gym)
6/17/2023,Botswana,Uganda,Uganda,Nairobi (Gym)
6/18/2023,Kenya,Uganda,Uganda,Nairobi (Gym)
6/18/2023,Botswana,Rwanda,Rwanda,Nairobi (Gym)
6/19/2023,Rwanda,Uganda,Uganda,Nairobi (Gym)
6/19/2023,Kenya,Botswana,Kenya,Nairobi (Gym)
6/21/2023,Kenya,Uganda,Uganda,Nairobi (Gym)
6/23/2023,Bulgaria,Serbia,Serbia,Sofia
6/23/2023,Bulgaria,Croatia,Bulgaria,Sofia
6/23/2023,Serbia,Turkey,Serbia,Sofia
6/24/2023,Bulgaria,Turkey,Bulgaria,Sofia
6/24/2023,Croatia,Serbia,Serbia,Sofia
6/24/2023,Luxembourg,Switzerland,Luxembourg,Walferdange
6/24/2023,Croatia,Turkey,Turkey,Sofia
6/25/2023,Bulgaria,Serbia,tied,Sofia
6/25/2023,Luxembourg,Switzerland,Switzerland,Walferdange
6/25/2023,Croatia,Turkey,tied,Sofia
6/29/2023,Austria,Germany,Germany,Deventer
6/30/2023,Austria,Germany,Germany,Deventer
7/7/2023,Jersey,Guernsey,Jersey,St Martin
7/8/2023,Jersey,Guernsey,Jersey,St Martin
7/9/2023,Isle of Man,Austria,Isle of Man,Castletown
7/9/2023,Isle of Man,Austria,Isle of Man,Castletown
7/10/2023,Isle of Man,Austria,tied,Castletown
7/10/2023,Malta,France,Malta,Marsa
7/10/2023,Malta,France,France,Marsa
7/11/2023,France,Luxembourg,France,Marsa
7/11/2023,Malta,Luxembourg,Malta,Marsa
7/12/2023,Malta,France,France,Marsa
7/12/2023,France,Luxembourg,France,Marsa
7/12/2023,Malta,Luxembourg,Luxembourg,Marsa
7/13/2023,France,Romania,France,Marsa
7/13/2023,Romania,Switzerland,Switzerland,Marsa
7/13/2023,Malta,Luxembourg,Malta,Marsa
7/14/2023,France,Switzerland,Switzerland,Marsa
7/14/2023,Bangladesh,Afghanistan,Bangladesh,Sylhet
7/14/2023,Malta,Romania,Malta,Marsa
7/14/2023,Luxembourg,Switzerland,Switzerland,Marsa
7/15/2023,France,Luxembourg,Luxembourg,Marsa
7/15/2023,Malta,Switzerland,Switzerland,Marsa
7/15/2023,Luxembourg,Romania,Luxembourg,Marsa
7/16/2023,Malta,Switzerland,Switzerland,Marsa
7/16/2023,Bangladesh,Afghanistan,Bangladesh,Sylhet
7/16/2023,Luxembourg,Romania,Romania,Marsa
7/16/2023,Malta,France,Malta,Marsa
7/20/2023,Scotland,Germany,Scotland,Edinburgh (Golden)
7/20/2023,Austria,Jersey,Jersey,Edinburgh
7/20/2023,Ireland,Italy,Ireland,Edinburgh (Golden)
7/21/2023,Scotland,Jersey,Scotland,Edinburgh
7/21/2023,Denmark,Ireland,Ireland,Edinburgh
7/21/2023,Austria,Germany,Germany,Edinburgh (Golden)
7/22/2023,P.N.G.,Vanuatu,P.N.G.,Port Moresby
7/22/2023,Japan,Philippines,Japan,Port Moresby
7/23/2023,Denmark,Germany,Germany,Edinburgh
7/23/2023,Austria,Ireland,Ireland,Edinburgh
7/23/2023,Italy,Jersey,Italy,Edinburgh (Golden)
7/23/2023,P.N.G.,Philippines,P.N.G.,Port Moresby
7/23/2023,Japan,Vanuatu,Japan,Port Moresby
7/24/2023,Ireland,Jersey,Ireland,Edinburgh (Golden)
7/24/2023,Scotland,Italy,Scotland,Edinburgh
7/24/2023,Austria,Denmark,Denmark,Edinburgh (Golden)
7/25/2023,Germany,Jersey,Jersey,Edinburgh
7/25/2023,Denmark,Italy,Italy,Edinburgh
7/25/2023,Scotland,Austria,Scotland,Edinburgh (Golden)
7/25/2023,P.N.G.,Japan,P.N.G.,Port Moresby
7/25/2023,Philippines,Vanuatu,Philippines,Port Moresby
7/26/2023,Bhutan,Myanmar,Bhutan,Kuala Lumpur
7/26/2023,Japan,Philippines,Japan,Port Moresby
7/26/2023,Malaysia,China,Malaysia,Kuala Lumpur
7/26/2023,P.N.G.,Vanuatu,P.N.G.,Port Moresby
7/27/2023,Scotland,Denmark,Scotland,Edinburgh
7/27/2023,Malaysia,Bhutan,Malaysia,Kuala Lumpur
7/27/2023,China,Thailand,Thailand,Kuala Lumpur
7/28/2023,Scotland,Ireland,Scotland,Edinburgh
7/28/2023,Germany,Italy,Italy,Edinburgh
7/28/2023,Denmark,Jersey,Jersey,Edinburgh (Golden)
7/28/2023,P.N.G.,Philippines,P.N.G.,Port Moresby
7/28/2023,Myanmar,Thailand,Thailand,Kuala Lumpur
7/28/2023,Japan,Vanuatu,Vanuatu,Port Moresby
7/29/2023,P.N.G.,Japan,P.N.G.,Port Moresby
7/29/2023,Philippines,Vanuatu,Vanuatu,Port Moresby
7/30/2023,Malaysia,Myanmar,Malaysia,Kuala Lumpur
7/30/2023,Bhutan,China,Bhutan,Kuala Lumpur
7/31/2023,China,Myanmar,China,Kuala Lumpur
7/31/2023,Bhutan,Thailand,Thailand,Kuala Lumpur
8/1/2023,Malaysia,Thailand,Malaysia,Kuala Lumpur
8/3/2023,West Indies,India,West Indies,Tarouba
8/5/2023,Hungary,Croatia,Hungary,Szodliget
8/6/2023,West Indies,India,West Indies,Providence
8/6/2023,Hungary,Croatia,Hungary,Szodliget
8/8/2023,West Indies,India,India,Providence
8/12/2023,India,West Indies,India,Lauderhill
8/13/2023,India,West Indies,West Indies,Lauderhill
8/14/2023,Germany,Guernsey,Guernsey,Deventer
8/14/2023,Germany,Guernsey,Germany,Deventer
8/15/2023,Germany,Guernsey,Guernsey,Deventer
8/17/2023,U.A.E.,New Zealand,New Zealand,Dubai (DICS)
8/18/2023,Ireland,India,India,Dublin (Malahide)
8/18/2023,Romania,Malta,Malta,Ilfov County
8/19/2023,U.A.E.,New Zealand,U.A.E.,Dubai (DICS)
8/19/2023,Romania,Malta,Romania,Ilfov County
8/19/2023,Romania,Malta,Malta,Ilfov County
8/20/2023,Ireland,India,India,Dublin (Malahide)
8/20/2023,U.A.E.,New Zealand,New Zealand,Dubai (DICS)
8/20/2023,Tanzania,Uganda,Uganda,Rwanda
8/20/2023,Romania,Malta,Romania,Ilfov County
8/20/2023,Rwanda,Uganda,Uganda,Rwanda
8/20/2023,Romania,Malta,Romania,Ilfov County
8/21/2023,Tanzania,Uganda,Tanzania,Rwanda
8/21/2023,Rwanda,Tanzania,Rwanda,Rwanda
8/22/2023,Rwanda,Tanzania,Tanzania,Rwanda
8/22/2023,Rwanda,Uganda,Uganda,Rwanda
8/24/2023,Tanzania,Uganda,Uganda,Rwanda
8/24/2023,Rwanda,Uganda,Uganda,Rwanda
8/25/2023,Tanzania,Uganda,Uganda,Rwanda
8/25/2023,Rwanda,Tanzania,Tanzania,Rwanda
8/27/2023,Rwanda,Uganda,Uganda,Rwanda
8/27/2023,Rwanda,Tanzania,Tanzania,Rwanda
8/28/2023,Rwanda,Uganda,Uganda,Rwanda
8/28/2023,Tanzania,Uganda,Uganda,Rwanda
8/30/2023,England,New Zealand,England,Chester-le-Street
8/30/2023,South Africa,Australia,Australia,Durban
8/30/2023,Rwanda,Tanzania,Tanzania,Rwanda
8/30/2023,Tanzania,Uganda,Uganda,Rwanda
8/31/2023,Rwanda,Tanzania,Tanzania,Rwanda
8/31/2023,Rwanda,Uganda,Uganda,Rwanda
9/1/2023,England,New Zealand,England,Manchester
9/1/2023,South Africa,Australia,Australia,Durban
9/3/2023,England,New Zealand,New Zealand,Birmingham
9/3/2023,South Africa,Australia,Australia,Durban
9/5/2023,England,New Zealand,New Zealand,Nottingham
9/15/2023,Qatar,Bahrain,Qatar,Doha
9/15/2023,Kuwait,Saudi Arabia,Kuwait,Doha
9/16/2023,Bahrain,Kuwait,Kuwait,Doha
9/16/2023,Oman,U.A.E.,U.A.E.,Doha
9/17/2023,Saudi Arabia,U.A.E.,U.A.E.,Doha
9/17/2023,Qatar,Oman,Oman,Doha
9/18/2023,Bahrain,Saudi Arabia,Bahrain,Doha
9/18/2023,Qatar,Kuwait,Qatar,Doha
9/19/2023,Bahrain,Oman,Bahrain,Doha
9/19/2023,Kuwait,U.A.E.,U.A.E.,Doha
9/19/2023,Malaysia,Hong Kong,Malaysia,Kuala Lumpur
9/20/2023,Oman,Saudi Arabia,Oman,Doha
9/20/2023,Qatar,U.A.E.,U.A.E.,Doha
9/20/2023,Malaysia,P.N.G.,P.N.G.,Kuala Lumpur
9/21/2023,Qatar,Saudi Arabia,Qatar,Doha
9/21/2023,Hong Kong,P.N.G.,P.N.G.,Kuala Lumpur
9/22/2023,Kuwait,Oman,Oman,Doha
9/22/2023,Bahrain,U.A.E.,Bahrain,Doha
9/22/2023,Malaysia,Hong Kong,Malaysia,Kuala Lumpur
9/23/2023,Oman,U.A.E.,Oman,Doha
9/23/2023,Malaysia,P.N.G.,P.N.G.,Kuala Lumpur
9/24/2023,Hong Kong,P.N.G.,P.N.G.,Kuala Lumpur
9/27/2023,Cambodia,Japan,Japan,Hangzhou
9/27/2023,Mongolia,Nepal,Nepal,Hangzhou
9/28/2023,Maldives,Saudi Arabia,Saudi Arabia,Doha
9/28/2023,Maldives,Mongolia,Maldives,Hangzhou
9/28/2023,Qatar,Kuwait,Kuwait,Doha
9/28/2023,Malaysia,Singapore,Malaysia,Hangzhou
9/29/2023,Qatar,Saudi Arabia,Saudi Arabia,Doha
9/29/2023,Singapore,Thailand,Singapore,Hangzhou
9/29/2023,Kuwait,Maldives,Kuwait,Doha
9/29/2023,Cambodia,Hong Kong,Hong Kong,Hangzhou
9/30/2023,Cayman Is,Panama,Cayman Is,Sandys Parish
9/30/2023,Gibraltar,Estonia,Estonia,Gibraltar
9/30/2023,Bermuda,Canada,Bermuda,Sandys Parish
9/30/2023,Gibraltar,Estonia,Gibraltar,Gibraltar
10/1/2023,Canada,Cayman Is,Canada,Sandys Parish
10/1/2023,Bermuda,Panama,Bermuda,Sandys Parish
10/1/2023,Kuwait,Saudi Arabia,Saudi Arabia,Doha
10/1/2023,Hong Kong,Japan,Hong Kong,Hangzhou
10/1/2023,Qatar,Maldives,Qatar,Doha
10/1/2023,Maldives,Nepal,Nepal,Hangzhou
10/2/2023,Maldives,Saudi Arabia,Saudi Arabia,Doha
10/2/2023,Qatar,Kuwait,Kuwait,Doha
10/2/2023,Malaysia,Thailand,Malaysia,Hangzhou
10/3/2023,Bermuda,Cayman Is,Bermuda,Hamilton
10/3/2023,Canada,Panama,Canada,Hamilton
10/3/2023,Hong Kong,Pakistan,Pakistan,Hangzhou
10/3/2023,India,Nepal,India,Hangzhou
10/4/2023,Bermuda,Panama,Bermuda,Hamilton
10/4/2023,Ghana,Sierra Leone,Ghana,Lagos
10/4/2023,Canada,Cayman Is,Canada,Hamilton
10/4/2023,Qatar,Saudi Arabia,Saudi Arabia,Doha
10/4/2023,Nigeria,Rwanda,Nigeria,Lagos
10/4/2023,Bangladesh,Malaysia,Bangladesh,Hangzhou
10/4/2023,Kuwait,Maldives,Kuwait,Doha
10/4/2023,Afghanistan,Sri Lanka,Afghanistan,Hangzhou
10/5/2023,Ghana,Rwanda,tied,Lagos
10/5/2023,Gibraltar,Serbia,Gibraltar,Gibraltar
10/5/2023,Kuwait,Saudi Arabia,Kuwait,Doha
10/5/2023,Nigeria,Sierra Leone,Nigeria,Lagos
10/5/2023,Gibraltar,Serbia,Gibraltar,Gibraltar
10/5/2023,Qatar,Maldives,Qatar,Doha
10/6/2023,Rwanda,Sierra Leone,Rwanda,Lagos
10/6/2023,Nigeria,Ghana,Nigeria,Lagos
10/6/2023,Afghanistan,Pakistan,Afghanistan,Hangzhou
10/6/2023,Bangladesh,India,India,Hangzhou
10/7/2023,Bermuda,Canada,Canada,Hamilton
10/7/2023,Ghana,Sierra Leone,Ghana,Lagos
10/7/2023,Nigeria,Rwanda,Nigeria,Lagos
10/7/2023,Afghanistan,India,tied,Hangzhou
10/7/2023,Bangladesh,Pakistan,Bangladesh,Hangzhou
10/8/2023,Ghana,Rwanda,Rwanda,Lagos
10/8/2023,Nigeria,Sierra Leone,Nigeria,Lagos
10/10/2023,Rwanda,Sierra Leone,Sierra Leone,Lagos
10/10/2023,Nigeria,Ghana,Nigeria,Lagos
10/11/2023,Rwanda,Sierra Leone,Rwanda,Lagos
10/11/2023,Nigeria,Ghana,Nigeria,Lagos
10/12/2023,Nigeria,Sierra Leone,Nigeria,Lagos
10/12/2023,Ghana,Rwanda,Rwanda,Lagos
10/14/2023,Ghana,Sierra Leone,Ghana,Lagos
10/14/2023,Nigeria,Rwanda,Nigeria,Lagos
10/15/2023,Nigeria,Rwanda,Nigeria,Lagos
10/15/2023,Gibraltar,Luxembourg,Luxembourg,Gibraltar
10/15/2023,Ghana,Sierra Leone,Sierra Leone,Lagos
10/15/2023,Gibraltar,Luxembourg,Gibraltar,Gibraltar
10/18/2023,Chile,Mexico,Mexico,Buenos Aires
10/18/2023,Nepal,U.A.E.,Nepal,Mulpani
10/19/2023,Argentina,Mexico,Argentina,Buenos Aires
10/19/2023,Nepal,Hong Kong,Nepal,Mulpani
10/20/2023,Argentina,Chile,Argentina,Buenos Aires
10/21/2023,Nepal,Hong Kong,Nepal,Mulpani
10/22/2023,Hong Kong,U.A.E.,U.A.E.,Mulpani
10/23/2023,Nepal,U.A.E.,Nepal,Mulpani
10/24/2023,Namibia,Zimbabwe,Namibia,Windhoek
10/25/2023,Hong Kong,U.A.E.,Hong Kong,Mulpani
10/25/2023,Namibia,Zimbabwe,Zimbabwe,Windhoek
10/27/2023,Namibia,Zimbabwe,Zimbabwe,Windhoek
10/27/2023,Nepal,U.A.E.,U.A.E.,Kirtipur
10/29/2023,Namibia,Zimbabwe,Namibia,Windhoek
10/30/2023,Namibia,Zimbabwe,Namibia,Windhoek
10/30/2023,Malaysia,Oman,Oman,Kirtipur
10/30/2023,Hong Kong,Kuwait,Hong Kong,Mulpani
10/30/2023,Bahrain,U.A.E.,U.A.E.,Mulpani
10/30/2023,Nepal,Singapore,Nepal,Kirtipur
10/31/2023,Nepal,Malaysia,Nepal,Kirtipur
10/31/2023,Kuwait,U.A.E.,U.A.E.,Mulpani
10/31/2023,Oman,Singapore,Oman,Kirtipur
10/31/2023,Bahrain,Hong Kong,Bahrain,Mulpani
11/2/2023,Malaysia,Singapore,Malaysia,Kirtipur
11/2/2023,Bahrain,Kuwait,Kuwait,Mulpani
11/2/2023,Nepal,Oman,Oman,Kirtipur
11/2/2023,Hong Kong,U.A.E.,U.A.E.,Mulpani
11/3/2023,Bahrain,Oman,Oman,Kirtipur
11/3/2023,Nepal,U.A.E.,Nepal,Mulpani
11/5/2023,Nepal,Oman,tied,Kirtipur
11/20/2023,Indonesia,Cambodia,Indonesia,Bali
11/20/2023,Indonesia,Cambodia,Indonesia,Bali
11/21/2023,Indonesia,Cambodia,Indonesia,Bali
11/21/2023,Indonesia,Cambodia,Cambodia,Bali
11/22/2023,Namibia,Zimbabwe,Namibia,Windhoek
11/22/2023,Kenya,Rwanda,Kenya,Windhoek
11/22/2023,Tanzania,Uganda,Uganda,Windhoek
11/22/2023,Indonesia,Cambodia,Cambodia,Bali
11/23/2023,India,Australia,India,Visakhapatnam
11/23/2023,Tanzania,Zimbabwe,Zimbabwe,Windhoek
11/23/2023,Kenya,Nigeria,Kenya,Windhoek
11/23/2023,Indonesia,Cambodia,Indonesia,Bali
11/24/2023,Namibia,Uganda,Namibia,Windhoek
11/24/2023,Nigeria,Rwanda,tied,Windhoek
11/25/2023,Namibia,Rwanda,Namibia,Windhoek
11/25/2023,Kenya,Tanzania,Kenya,Windhoek
11/26/2023,India,Australia,India,Thiruvananthapuram
11/26/2023,Nigeria,Tanzania,Nigeria,Windhoek
11/26/2023,Uganda,Zimbabwe,Uganda,Windhoek
11/27/2023,Namibia,Kenya,Namibia,Windhoek
11/27/2023,Rwanda,Zimbabwe,Zimbabwe,Windhoek
11/27/2023,Nigeria,Uganda,Uganda,Windhoek
