Date,Team1,Team2,Winner,Venue
11/30/2013,Afghanistan,Ireland,Ireland,Abu Dhabi
12/8/2013,Afghanistan,Pakistan,Pakistan,Sharjah
12/11/2013,Pakistan,Sri Lanka,Pakistan,Dubai (DICS)
12/13/2013,Pakistan,Sri Lanka,Sri Lanka,Dubai (DICS)
1/11/2014,New Zealand,West Indies,New Zealand,Auckland
1/15/2014,New Zealand,West Indies,New Zealand,Wellington
1/29/2014,Australia,England,Australia,Hobart
1/31/2014,Australia,England,Australia,Melbourne
2/2/2014,Australia,England,Australia,Sydney
2/12/2014,Bangladesh,Sri Lanka,Sri Lanka,Chattogram
2/14/2014,Bangladesh,Sri Lanka,Sri Lanka,Chattogram
2/19/2014,West Indies,Ireland,Ireland,Kingston
2/21/2014,West Indies,Ireland,West Indies,Kingston
3/9/2014,West Indies,England,West Indies,Bridgetown
3/11/2014,West Indies,England,West Indies,Bridgetown
3/12/2014,South Africa,Australia,Australia,Durban
3/13/2014,West Indies,England,England,Bridgetown
3/14/2014,South Africa,Australia,Australia,Centurion
3/16/2014,Hong Kong,Nepal,Nepal,Chattogram
3/16/2014,Bangladesh,Afghanistan,Bangladesh,Mirpur
3/17/2014,Netherlands,U.A.E.,Netherlands,Sylhet
3/17/2014,Ireland,Zimbabwe,Ireland,Sylhet
3/18/2014,Bangladesh,Nepal,Bangladesh,Chattogram
3/18/2014,Afghanistan,Hong Kong,Afghanistan,Chattogram
3/19/2014,Ireland,U.A.E.,Ireland,Sylhet
3/19/2014,Netherlands,Zimbabwe,Zimbabwe,Sylhet
3/20/2014,Bangladesh,Hong Kong,Hong Kong,Chattogram
3/20/2014,Afghanistan,Nepal,Nepal,Chattogram
3/21/2014,India,Pakistan,India,Mirpur
3/21/2014,Ireland,Netherlands,Netherlands,Sylhet
3/21/2014,U.A.E.,Zimbabwe,Zimbabwe,Sylhet
3/22/2014,England,New Zealand,New Zealand,Chattogram
3/22/2014,South Africa,Sri Lanka,Sri Lanka,Chattogram
3/23/2014,India,West Indies,India,Mirpur
3/23/2014,Australia,Pakistan,Pakistan,Mirpur
3/24/2014,Netherlands,Sri Lanka,Sri Lanka,Chattogram
3/24/2014,New Zealand,South Africa,South Africa,Chattogram
3/25/2014,Bangladesh,West Indies,West Indies,Mirpur
3/27/2014,England,Sri Lanka,England,Chattogram
3/27/2014,Netherlands,South Africa,South Africa,Chattogram
3/28/2014,Bangladesh,India,India,Mirpur
3/28/2014,Australia,West Indies,West Indies,Mirpur
3/29/2014,England,South Africa,South Africa,Chattogram
3/29/2014,Netherlands,New Zealand,New Zealand,Chattogram
3/30/2014,Australia,India,India,Mirpur
3/30/2014,Bangladesh,Pakistan,Pakistan,Mirpur
3/31/2014,New Zealand,Sri Lanka,Sri Lanka,Chattogram
3/31/2014,England,Netherlands,Netherlands,Chattogram
4/1/2014,Pakistan,West Indies,West Indies,Mirpur
4/1/2014,Bangladesh,Australia,Australia,Mirpur
4/3/2014,Sri Lanka,West Indies,Sri Lanka,Mirpur
4/4/2014,India,South Africa,India,Mirpur
4/6/2014,India,Sri Lanka,Sri Lanka,Mirpur
5/20/2014,England,Sri Lanka,Sri Lanka,The Oval
7/5/2014,West Indies,New Zealand,New Zealand,Roseau
7/6/2014,West Indies,New Zealand,West Indies,Roseau
8/27/2014,West Indies,Bangladesh,tied,Basseterre
9/7/2014,England,India,England,Birmingham
10/5/2014,Australia,Pakistan,Australia,Dubai (DICS)
11/5/2014,Australia,South Africa,South Africa,Adelaide
11/7/2014,Australia,South Africa,Australia,Melbourne
11/9/2014,Australia,South Africa,Australia,Sydney
11/24/2014,Hong Kong,Nepal,Hong Kong,Colombo (PSS)
12/4/2014,New Zealand,Pakistan,Pakistan,Dubai (DICS)
12/5/2014,New Zealand,Pakistan,New Zealand,Dubai (DICS)
1/9/2015,South Africa,West Indies,West Indies,Cape Town
1/11/2015,South Africa,West Indies,West Indies,Johannesburg
1/14/2015,South Africa,West Indies,South Africa,Durban
4/24/2015,Bangladesh,Pakistan,Bangladesh,Mirpur
5/22/2015,Pakistan,Zimbabwe,Pakistan,Lahore
5/24/2015,Pakistan,Zimbabwe,Pakistan,Lahore
6/18/2015,Ireland,Scotland,Scotland,Bready
6/19/2015,Ireland,Scotland,tied,Bready
6/20/2015,Ireland,Scotland,Scotland,Bready
6/21/2015,Ireland,Scotland,tied,Bready
6/23/2015,England,New Zealand,England,Manchester
6/30/2015,Netherlands,Nepal,Netherlands,Amstelveen
7/1/2015,Netherlands,Nepal,Netherlands,Amstelveen
7/2/2015,Netherlands,Nepal,Netherlands,Rotterdam
7/3/2015,Netherlands,Nepal,Nepal,Rotterdam
7/5/2015,Bangladesh,South Africa,South Africa,Mirpur
7/7/2015,Bangladesh,South Africa,South Africa,Mirpur
7/9/2015,Afghanistan,Netherlands,Afghanistan,Edinburgh
7/9/2015,Scotland,U.A.E.,Scotland,Edinburgh
7/10/2015,Afghanistan,U.A.E.,Afghanistan,Edinburgh
7/11/2015,Scotland,Netherlands,Netherlands,Edinburgh
7/12/2015,Scotland,Afghanistan,Afghanistan,Edinburgh
7/12/2015,Netherlands,U.A.E.,Netherlands,Edinburgh
7/13/2015,Ireland,Nepal,Ireland,Belfast
7/15/2015,Hong Kong,Nepal,Hong Kong,Belfast
7/15/2015,Ireland,P.N.G.,P.N.G.,Belfast
7/17/2015,Ireland,Hong Kong,Hong Kong,Dublin (Malahide)
7/17/2015,Zimbabwe,India,India,Harare
7/17/2015,Nepal,P.N.G.,P.N.G.,Dublin (Malahide)
7/19/2015,Zimbabwe,India,Zimbabwe,Harare
7/21/2015,Afghanistan,Hong Kong,Hong Kong,Dublin (Malahide)
7/23/2015,Afghanistan,P.N.G.,Afghanistan,Dublin (Malahide)
7/25/2015,Ireland,Netherlands,Netherlands,Dublin (Malahide)
7/25/2015,Hong Kong,Scotland,Scotland,Dublin (Malahide)
7/25/2015,Afghanistan,Oman,Afghanistan,Dublin
7/30/2015,Sri Lanka,Pakistan,Pakistan,Colombo (RPS)
8/1/2015,Sri Lanka,Pakistan,Pakistan,Colombo (RPS)
8/9/2015,Zimbabwe,New Zealand,New Zealand,Harare
8/14/2015,South Africa,New Zealand,South Africa,Durban
8/16/2015,South Africa,New Zealand,New Zealand,Centurion
8/31/2015,England,Australia,England,Cardiff
9/27/2015,Zimbabwe,Pakistan,Pakistan,Harare
9/29/2015,Zimbabwe,Pakistan,Pakistan,Harare
10/2/2015,India,South Africa,South Africa,Dharamsala
10/5/2015,India,South Africa,South Africa,Cuttack
10/26/2015,Zimbabwe,Afghanistan,Afghanistan,Bulawayo
10/28/2015,Zimbabwe,Afghanistan,Afghanistan,Bulawayo
11/9/2015,Sri Lanka,West Indies,Sri Lanka,Pallekele
11/11/2015,Sri Lanka,West Indies,West Indies,Colombo (RPS)
11/13/2015,Bangladesh,Zimbabwe,Bangladesh,Mirpur
11/15/2015,Bangladesh,Zimbabwe,Zimbabwe,Mirpur
11/21/2015,Hong Kong,Oman,Oman,Abu Dhabi
11/22/2015,U.A.E.,Oman,U.A.E.,Abu Dhabi
11/25/2015,Hong Kong,Oman,Oman,Abu Dhabi
11/26/2015,England,Pakistan,England,Dubai (DICS)
11/26/2015,Hong Kong,Oman,Hong Kong,Abu Dhabi
11/27/2015,England,Pakistan,England,Dubai (DICS)
11/28/2015,Afghanistan,Hong Kong,Hong Kong,Abu Dhabi
11/29/2015,Afghanistan,Oman,Afghanistan,Abu Dhabi
11/30/2015,England,Pakistan,tied,Sharjah
11/30/2015,Afghanistan,Oman,Afghanistan,Abu Dhabi
1/7/2016,New Zealand,Sri Lanka,New Zealand,Mount Maunganui
